"Gene ID","Description","Log2 FC MF/PF","-Log10(P-Value)","significance","Log2 FC PF/MF","Ratio H/L normalized Significance B","FC MF/PF","Significant","Annotation","Coordinates"
"Tb927.11.8440","haloacid dehalogenase-like hydrolase, putative",3.709963,6.22112552799726,"Up in MF",-3.709963,6.01e-07,13.0860973207367,"+","InterPro:IPR000150 :Cof protein;TIGR_TIGRFAMS:TIGR00099;;query 14-279;description=Cof protein","2363092:2363955 Could not determine strand"
"Tb927.9.11480","hypothetical protein, conserved",3.703483,6.75696195131371,"Up in MF",-3.703483,1.75e-07,13.0274516928227,"+","tmhmm;;query 1-561;| 1790459:1792144 Forward",NA
"Tb927.8.7820","hypothetical protein, conserved",3.665679,5.15304467498018,"Up in MF",-3.665679,7.03e-06,12.6905175336444,"+","InterPro:IPR002059 :Cold-shock protein, DNA-binding;Pfam:PF00313;;query 270-324;description=Cold-shock protein, DNA-binding","2274966:2276480 Forward"
"Tb927.11.3220","metacaspase",3.628716,5.74472749489669,"Up in MF",-3.628716,1.8e-06,12.3695061753156,"+","InterPro:IPR011600 :Peptidase C14, caspase catalytic;Pfam:PF00656;;query 84-341;description=Peptidase C14, caspase catalytic","914998:916116 Reverse"
"Tb927.8.8330","calpain, putative",3.600389,5.51144928349956,"Up in MF",-3.600389,3.08e-06,12.1290024857454,"+","65% identical to GB:AAG48626.1: cytoskeleton-associated protein CAP5.5 {Trypanosoma brucei}","2466411:2469077 Forward"
"Tb927.8.5850","hypothetical protein, conserved",3.598204,4.34198860334289,"Up in MF",-3.598204,4.55e-05,12.1106466926534,"+","tmhmm;;query 1-4204;| 1716183:1728797 Forward",NA
"Tb927.11.7750","MSP-A, putative",3.571184,4.28903688100472,"Up in MF",-3.571184,5.14e-05,11.8859391903849,"+","Tb927.11.7750 is included in the African trypanosome cell surface phylome and is a member of Fam46 (31 members)","2194738:2196423 Reverse"
"Tb927.8.7210","hypothetical protein, conserved",3.556003,4.89279003035213,"Up in MF",-3.556003,1.28e-05,11.7615231484867,"+","term=annotation;date=20110223;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","2071616:2072065 Forward"
"Tb927.2.4670","hypothetical protein, conserved",3.468747,4.69464863055338,"Up in MF",-3.468747,2.02e-05,11.071256033657,"+","tmhmm;;query 1-387;| 825688:826851 Reverse",NA
"Tb927.6.2040","nitrate reductase, putative",3.393941,3.95253042538014,"Up in MF",-3.393941,0.00011155,10.5118231202116,"+","InterPro:IPR001433 :Oxidoreductase FAD/NAD(P)-binding;Pfam:PF00175;;query 251-310;description=Oxidoreductase FAD/NAD(P)-binding","667561:668745 Reverse"
"Tb927.10.4870","tRNA-dihydrouridine synthase 2, putative",3.38484,4.50445566245355,"Up in MF",-3.38484,3.13e-05,10.4457197650772,"+","iprscan;Superfamily:SSF51395;;score=1.3E-44;query 6-342;description=null","1215995:1217302 Reverse"
"Tb927.5.410","hypothetical protein",3.374509,4.92811799269387,"Up in MF",-3.374509,1.18e-05,10.371186156107,"+","Tb927.5.410 is included in the African trypanosome cell surface phylome and is a member of Fam49 (79 members)","186374:187555 Reverse"
"Tb927.8.1460","hypothetical protein, conserved",3.355232,4.43889861635094,"Up in MF",-3.355232,3.64e-05,10.2335301733876,"+","PANTHER:PTHR23051;;query 46-389;description=null","472502:473725 Forward"
"Tb927.10.14910","sarcoplasmic reticulum glycoprotein, putative",3.327855,5.6345120151091,"Up in MF",-3.327855,2.32e-06,10.0411666786198,"+","iprscan;PANTHER:PTHR11216:SF31;;score=2.8E-68;query 115-379;description=null","3642186:3643739 Forward"
"Tb927.5.2000","hypothetical protein",3.325756,4.37468754903833,"Up in MF",-3.325756,4.22e-05,10.0265682475634,"+","mitochondrial localisation predicted by MitoCarta (PMID:20660476)","678171:679256 Forward"
"Tb927.7.5980","protein associated with differentiation 6, putative",3.288417,4.86012091359876,"Up in MF",-3.288417,1.38e-05,9.77039575164196,"+","TbPAD6, Tb927.7.5980 is included in the African trypanosome cell surface phylome and is a member of Fam58 (31 members)","1608813:1610609 Forward"
"Tb927.10.6750","hypothetical protein, conserved",3.268956,4.81247927916354,"Up in MF",-3.268956,1.54e-05,9.6394845258882,"+","Tb927.10.6750 is included in the African trypanosome cell surface phylome and is a member of Fam81 (9 members)","1701092:1702609 Forward;>Tb927.10.6760 | hypothetical protein, conserved | iprscan;InterPro:IPR007603 :Protein of unknown function DUF580;PANTHER:PTHR12385;;score=5.2E-78;query 180-517;description=Protein of unknown function DUF580 | 1703283:1704836 Forward"
"Tb927.11.5120","hypothetical protein, conserved",3.253464,3.69581332612605,"Up in MF",-3.253464,0.000201459,9.53652724409272,"+","InterPro:IPR013026 :Tetratricopeptide region;SMART:SM00028;;query 4-37;description=Tetratricopeptide region","1463149:1465101 Could not determine strand"
"Tb927.10.7300","hypothetical protein, conserved",3.230397,4.92811799269387,"Up in MF",-3.230397,1.18e-05,9.38526186956223,"+","term=annotation;date=20110223;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","1844023:1844310 Reverse"
"Tb927.11.8820","glutathionylspermidine synthetase, putative",3.229315,3.65257435283263,"Up in MF",-3.229315,0.000222549,9.37822570043995,"+","InterPro:IPR007921 :Cysteine, histidine-dependent amidohydrolase/peptidase;Pfam:PF05257;;query 120-243;description=Cysteine, histidine-dependent amidohydrolase/peptidase","2421135:2421959 Could not determine strand"
"Tb927.1.700","phosphoglycerate kinase",3.220009,4.54975089168064,"Up in MF",-3.220009,2.82e-05,9.31792681981867,"+","InterPro:IPR001576 :Phosphoglycerate kinase;PRINTS:PR00477;;query 334-359;description=Phosphoglycerate kinase","232504:233826 Reverse"
"Tb927.3.2930","RNA-binding protein RBP6, putative",3.214106,4.1331221856625,"Up in MF",-3.214106,7.36e-05,9.27987903712698,"+","PANTHER:PTHR10432;;query 6-214;description=null","756578:757297 Reverse"
"Tb927.8.8150","hypothetical protein, conserved",3.211298,4.95078197732982,"Up in MF",-3.211298,1.12e-05,9.26183464309294,"+","InterPro:IPR000772 :Ricin B lectin;Prosite:PS50231;;query 28-135;description=Ricin B lectin","2410660:2411208 Forward"
"Tb927.10.13790","hypothetical protein, conserved",3.210363,3.84827170593953,"Up in MF",-3.210363,0.000141817,9.25583406114674,"+","term=annotation;date=20110223;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","3367889:3369931 Reverse"
"Tb927.10.6720","hypothetical protein, conserved",3.201311,4.92445303860747,"Up in MF",-3.201311,1.19e-05,9.19794135951349,"+","Tb927.10.6720 is included in the African trypanosome cell surface phylome and is a member of Fam81 (9 members)","1694624:1696093 Forward"
"Tb927.10.3660","aspartate aminotransferase",3.152003,3.73781478935548,"Up in MF",-3.152003,0.000182888,8.88888831314515,"+","100% identical to GB:AAK73815.1: aspartate aminotransferase {Trypanosoma brucei;} PMID:11443076","952856:954067 Reverse"
"Tb927.7.6570","hypothetical protein, conserved",3.140635,4.76955107862173,"Up in MF",-3.140635,1.7e-05,8.81912179574495,"+","Part of an tandem of six genes (Tb07.15M23.130, Tb07.15M23.140, Tb07.15M23.150, Tb07.15M23.160, Tb07.15M23.170, Tb07.15M23.180, Tb07.15M23.190). Tb07.15M23.170 and Tb07.15M23.180 both contain a large repeat insertion and could be pseudogenes.","1794724:1795431 Reverse"
"Tb927.5.890","oligosaccharyl transferase subunit, putative",3.140507,4.76955107862173,"Up in MF",-3.140507,1.7e-05,8.81833937293066,"+","InterPro:IPR003674 :Oligosaccharyl transferase, STT3 subunit;Pfam:PF02516;;query 45-754;description=Oligosaccharyl transferase, STT3 subunit","354179:356584 Forward"
"Tb927.4.3400","hypothetical protein, conserved",3.129987,5.08512818245995,"Up in MF",-3.129987,8.22e-06,8.75427072575558,"+","missing_note_qualifer","886658:888475 Reverse"
"Tb927.5.4570","hypothetical protein, conserved",3.103829,4.41228903498109,"Up in MF",-3.103829,3.87e-05,8.59697433883484,"+","Tb927.5.4570 is included in the African trypanosome cell surface phylome and is a member of Fam73 (7 members)","1413667:1416123 Forward"
"Tb927.8.8070","hypothetical protein, conserved",3.093571,3.88042411796369,"Up in MF",-3.093571,0.000131697,8.53606404168743,"+","Number of tandemly repeated genes in the array is uncertain.","2388796:2390448 Forward;>Tb927.8.8110 | hypothetical protein, conserved | InterPro:IPR007087 :Zinc finger, C2H2-type;Prosite:PS50157;;query 189-217;description=Zinc finger, C2H2-type | 2396703:2398502 Forward"
"Tb927.8.8140","small GTP-binding rab protein, putative",3.07899,4.35359627377693,"Up in MF",-3.07899,4.43e-05,8.45022643010561,"+","InterPro:IPR003578 :Ras small GTPase, Rho type;SMART:SM00174;;query 43-286;description=Ras small GTPase, Rho type","2406019:2407917 Forward"
"Tb927.10.15910","glycerol uptake protein, putative",3.067455,4.58670023591875,"Up in MF",-3.067455,2.59e-05,8.38293242565365,"+","iprscan;InterPro:IPR004299 :Membrane bound O-acyl transferase, MBOAT;Pfam:PF03062;;score=4.0E-16;query 241-544;description=Membrane bound O-acyl transferase, MBOAT","3922051:3923880 Forward"
"Tb927.10.4770","phosphatidylinositol-4-phosphate 5-kinase, putative",3.052296,4.54821356447571,"Up in MF",-3.052296,2.83e-05,8.29531059543334,"+","iprscan;InterPro:IPR016034 :Phosphatidylinositol-4-phosphate 5-kinase, core, subgroup;SMART:SM00330;;score=2.6E-14;query 56-434;description=Phosphatidylinositol-4-phosphate 5-kinase, core, subgroup","1197912:1199252 Reverse"
"Tb927.9.11100","protein kinase A catalytic subunit isoform 1",3.035165,4.2518119729938,"Up in MF",-3.035165,5.6e-05,8.19739206051927,"+","InterPro:IPR001245 :Tyrosine protein kinase;SMART:SM00219;;query 25-270;description=Tyrosine protein kinase","1751486:1752490 Reverse"
"Tb927.7.6440","hypothetical protein, conserved",3.030207,4.10568393731556,"Up in MF",-3.030207,7.84e-05,8.16926906027546,"+","PANTHER:PTHR21230:SF2;;query 146-220;description=null","1748269:1748937 Forward"
"Tb927.9.13070","predicted heat shock factor binding protein",3.02327,4.0893755951108,"Up in MF",-3.02327,8.14e-05,8.13008254440454,"+","InterPro:IPR009643 :Heat shock factor binding 1;Pfam:PF06825;;query 10-63;description=Heat shock factor binding 1","2069205:2069453 Forward"
"Tb927.7.7530","receptor-type adenylate cyclase GRESAG 4, putative",3.003929,5.86966623150499,"Up in MF",-3.003929,1.35e-06,8.02181669622074,"+","Tb927.7.7530 is included in the African trypanosome cell surface phylome and is a member of Fam51 (86 members)","2187783:2191514 Forward;>Tb927.7.7520 | receptor-type adenylate cyclase GRESAG 4, putative | Tb927.7.7520 is included in the African trypanosome cell surface phylome and is a member of Fam51 (86 members) | 2180395:2184126 Forward;>Tb927.5.650 | receptor-type adenylate cyclase GRESAG 4, putative | Tb927.5.650 is included in the African trypanosome cell surface phylome and is a member of Fam51 (86 members) | 280836:284585 Forward;>Tb927.5.1450 | receptor-type adenylate cyclase GRESAG 4, putative | Tb927.5.1450 is included in the African trypanosome cell surface phylome and is a member of Fam51 (86 members) | 516479:520228 Reverse"
"Tb927.11.4860","hypothetical protein, conserved",2.994471,4.34969247686806,"Up in MF",-2.994471,4.47e-05,7.96939938841957,"+","weak hit (e-5) to Zinc finger domain","1394308:1395708 Could not determine strand"
"Tb927.10.8440","glucose transporter 1B",2.965108,3.95846915221315,"Up in MF",-2.965108,0.000110035,7.80883863317402,"+","Tb927.10.8440 is included in the African trypanosome cell surface phylome and is a member of Fam59 (12 members)","2093459:2095042 Forward;>Tb927.10.8460 | glucose transporter, putative | iprscan;InterPro:IPR016196 :MFS general substrate transporter;Superfamily:SSF103473;;score=1.1E-37;query 1-507;description=Major facilitator superfamily, general substrate transporter | 2098241:2099824 Forward;>Tb927.10.8470 | glucose transporter, putative | iprscan;InterPro:IPR016196 :MFS general substrate transporter;Superfamily:SSF103473;;score=1.2E-38;query 1-507;description=Major facilitator superfamily, general substrate transporter | 2100630:2102213 Forward;>Tb927.10.8480 | glucose transporter, putative | iprscan;InterPro:IPR016196 :MFS general substrate transporter;Superfamily:SSF103473;;score=1.2E-37;query 1-507;description=Major facilitator superfamily, general substrate transporter | 2103019:2104602 Forward"
"Tb927.11.5370","hypothetical protein, conserved",2.960047,3.61016791747407,"Up in MF",-2.960047,0.000245376,7.78149308000848,"+","tmhmm;;query 1-690;| 1530694:1532766 Could not determine strand",NA
"Tb927.4.2380","sarcoplasmic reticulum glycoprotein, putative",2.950648,4.61261017366127,"Up in MF",-2.950648,2.44e-05,7.73096228585035,"+","Superfamily:SSF52540;;query 61-308;description=null","613831:615705 Forward"
"Tb927.10.1040","serine carboxypeptidase III precursor, putative",2.929281,3.13718669358933,"Up in MF",-2.929281,0.000729144,7.61730677953623,"+","Curated by J. Mottram. GB:AAO74600.1: serine carboxypeptidase precursor {Trypanosoma cruzi;}","280857:282251 Reverse;>Tb927.10.1030 | serine carboxypeptidase III precursor, putative | iprscan;InterPro:IPR001563 :Peptidase S10, serine carboxypeptidase;Pfam:PF00450;;score=1.6E-131;query 43-460;description=Peptidase S10, serine carboxypeptidase | 279141:280535 Reverse"
"Tb927.10.4260","hypothetical protein, conserved",2.893786,3.9298032291668,"Up in MF",-2.893786,0.000117543,7.43218287056589,"+","Signal peptide","1113513:1114925 Forward"
"Tb927.9.3820","syntaxin, putative",2.88662,4.09745322068601,"Up in MF",-2.88662,7.99e-05,7.39535806114772,"+","InterPro:IPR000727 :Target SNARE coiled-coil region;Prosite:PS50192;;query 191-253;description=Target SNARE coiled-coil region","755001:755855 Forward"
"Tb927.9.8570","hypothetical protein, conserved",2.867015,3.03526954998186,"Up in MF",-2.867015,0.000921999,7.29554117702078,"+","tmhmm;;query 1-154;| 1388063:1388527 Reverse",NA
"Tb927.7.4650","SNF2 DNA repair protein, putative",2.85517,3.01607706886267,"Up in MF",-2.85517,0.000963658,7.23588761122161,"+","InterPro:IPR000330 :SNF2-related;Pfam:PF00176;;query 629-697;description=SNF2-related","1231910:1235143 Reverse"
"Tb927.7.810","hypothetical protein, conserved",2.853501,4.07007043991541,"Up in MF",-2.853501,8.51e-05,7.2275215232858,"+","term=annotation;db_xref=PMID:21363968;date=20110218;qualifier=added_controlled_curation;qualifier=added_comment;curatorName=FLK","184357:188907 Reverse"
"Tb927.4.4430","adenylyl cyclase",2.849025,4.35556141053216,"Up in MF",-2.849025,4.41e-05,7.20513269313695,"+","Tb927.4.4430 is included in the African trypanosome cell surface phylome and is a member of Fam51 (86 members)","1177872:1181603 Reverse;>Tb927.6.340 | receptor-type adenylate cyclase GRESAG 4, pseudogene, putative | Signal anchor | 167218:170811 Forward;>Tb927.6.270 | receptor-type adenylate cyclase GRESAG 4, pseudogene, putative | Signal anchor | 121349:124942 Reverse"
"Tb927.8.5080","hypothetical protein, conserved",2.828998,2.97389143221481,"Up in MF",-2.828998,0.001061961,7.10580451599568,"+","InterPro:IPR000120 :Amidase signature enzyme;Superfamily:SSF75304;;query 28-584;description=Amidase signature enzyme","1498758:1500545 Forward"
"Tb927.9.5960","succinate dehydrogenase, putative",2.808741,3.61677366382448,"Up in MF",-2.808741,0.000241672,7.00672852384198,"+","mitochondrial localisation predicted by MitoCarta (PMID:20660476)","1000649:1001215 Forward"
