"Gene ID","Product Description","Log2 FC MF/PF","-Log10(P-Value)","significance","Log2 FC PF/MF","FC MF/PF","P value FC MF/PF"
"Tb927.1.1220","RWD domain-containing protein",-0.350823628677429,1.14266750356873,"Not Significant",0.350823628677429,0.784136309887848,0.072
"Tb927.1.1230","chaperone protein DnaJ, putative",0.434954002035311,1.74472749489669,"Not Significant",-0.434954002035311,1.35186773025611,0.018
"Tb927.1.1240","cytidine triphosphate synthase, putative",-0.882911521425153,3.25963731050576,"Not Significant",0.882911521425153,0.542271960222399,0.00055
"Tb927.1.1270","homocysteine S-methyltransferase, putative",-0.348603334550596,0.920818753952375,"Not Significant",0.348603334550596,0.785344017395773,0.12
"Tb927.1.1300","hypothetical transmembrane protein, conserved",0.423772990567853,2.00524305541237,"Not Significant",-0.423772990567853,1.3414311328147,0.00988
"Tb927.1.1310","transmembrane protein, conserved",-0.506706345877459,2.80687540164554,"Not Significant",0.506706345877459,0.70382743400967,0.00156
"Tb927.1.1330","Mitochondrial Editosome-like Complex TUTase",-0.394555595963203,1.91364016932525,"Not Significant",0.394555595963203,0.760723671878711,0.0122
"Tb927.1.1340","Quinonprotein alcohol dehydrogenase-like protein, putative",0.220762198554749,0.665546248849069,"Not Significant",-0.220762198554749,1.16534909617824,0.216
"Tb927.1.1350","kinesin heavy chain, putative",-0.256323994813513,1.92081875395238,"Not Significant",0.256323994813513,0.837218447147938,0.012
"Tb927.1.1370","rRNA biogenesis protein, putative",-0.573550330734414,1.78251605578609,"Not Significant",0.573550330734414,0.671961121759094,0.0165
"Tb927.1.1380","serine/threonine protein phosphatase 2A regulatory subunit, putative",0.0198844142988891,0,"Not Significant",-0.0198844142988891,1.0138782467371,1
"Tb927.1.1390","hypothetical protein, conserved",-0.528456203569468,3.00700490156866,"Not Significant",0.528456203569468,0.693296218391669,0.000984
"Tb927.1.1400","Overproducer of inositol protein 10 homolog, putative",0.216759558685571,1.11520463605102,"Not Significant",-0.216759558685571,1.16212041097318,0.0767
"Tb927.1.1420","conserved protein, unknown function",-0.512135398469162,2.13966199342901,"Not Significant",0.512135398469162,0.701183815383739,0.00725
"Tb927.1.1470","conserved protein, unknown function",-1.15874286866402,2.03857890593355,"Down in MF",1.15874286866402,0.447902657560039,0.00915
"Tb927.1.1500","conserved protein, unknown function",2.00984823077436,4.46980030179692,"Up in MF",-2.00984823077436,4.02739850201881,3.39e-05
"Tb927.1.1530","STE group serine/threonine-protein kinase, putative",0.182581295056277,1.02456819149074,"Not Significant",-0.182581295056277,1.13491267527666,0.0945
"Tb927.1.1540","Tubulin/FtsZ family, putative",0.458310137122917,2.14206473528057,"Not Significant",-0.458310137122917,1.37393155667605,0.00721
"Tb927.1.1550","tubulin-tyrosine ligase, putative",0.333399703698721,2.21896306137887,"Not Significant",-0.333399703698721,1.25997901317996,0.00604
"Tb927.1.1560","vesicular-fusion protein nsf, putative",0.942910042502927,3.59859945921846,"Not Significant",-0.942910042502927,1.92240198399941,0.000252
"Tb927.1.1580","electron transport protein SCO1/2, putative",-0.951470130947702,3.98296666070122,"Not Significant",0.951470130947702,0.517105254241818,0.000104
"Tb927.1.1600","pseudouridine synthase TruD, putative",0.311852834810072,1.55129368009492,"Not Significant",-0.311852834810072,1.24130086352115,0.0281
"Tb927.1.1610","hypothetical protein, conserved",-0.0192329479548612,0.0150228735845067,"Not Significant",0.0192329479548612,0.986757204081237,0.966
"Tb927.1.1620","ATP-dependent DEAD/H RNA helicase, putative",-0.409054853659264,1.51427857351842,"Not Significant",0.409054853659264,0.753116598029854,0.0306
"Tb927.1.1630","transcription elongation factor 1 homolog",0.0951205149044768,0.222573177610689,"Not Significant",-0.0951205149044768,1.06815463215504,0.599
"Tb927.1.1640","hypothetical protein, conserved",0.595537903844403,2.93181413825384,"Not Significant",-0.595537903844403,1.51103586503166,0.00117
"Tb927.1.1650","hypothetical protein, conserved",0.227504386577965,0.87942606879415,"Not Significant",-0.227504386577965,1.17080790091984,0.132
"Tb927.1.1660","ESCO acetyltransferase domain-containing protein",0.0954707886608136,0.174573882232177,"Not Significant",-0.0954707886608136,1.06841400225626,0.669
"Tb927.1.1670","ARM-like helical domain-containing protein",0.195780213278599,0.869666231504994,"Not Significant",-0.195780213278599,1.14534339786776,0.135
"Tb927.1.1680","Transcription elongation factor 1 domain-containing protein",-0.298515707397367,1.98716277529483,"Not Significant",0.298515707397367,0.813088498646059,0.0103
"Tb927.1.1690","RNA-editing nuclease 1",0.179760571027471,1.31695296176115,"Not Significant",-0.179760571027471,1.13269588803349,0.0482
"Tb927.1.1700","AATF protein, putative",-0.154692767370296,0.34008379993015,"Not Significant",0.154692767370296,0.898323657213798,0.457
"Tb927.1.1710","transmembrane protein, conserved",0.0243370880987834,0.0819696632151199,"Not Significant",-0.0243370880987834,1.01701227214418,0.828
"Tb927.1.1720","cyclophilin 15, putative",0.0820771587687671,0.242603971206976,"Not Significant",-0.0820771587687671,1.05854100665682,0.572
"Tb927.1.1730","Polyadenylation mediator complex protein PAMC1, putative",-0.102407982843032,0.657577319177794,"Not Significant",0.102407982843032,0.93147697767145,0.22
"Tb927.1.1740","hypothetical protein",1.31489619386515,2.08565684288056,"Up in MF",-1.31489619386515,2.48784429247124,0.00821
"Tb927.1.1750","conserved protein, unknown function",0.612505377543276,3.61439372640169,"Not Significant",-0.612505377543276,1.52891200640328,0.000243
"Tb927.1.1760","hypothetical transmembrane protein",0.597075109218519,1.38827669199266,"Not Significant",-0.597075109218519,1.51264674626027,0.0409
"Tb927.1.1770","glutaredoxin, putative",-0.330157328380949,1.82390874094432,"Not Significant",0.330157328380949,0.795449733860316,0.015
"Tb927.1.1790","hypothetical PIN domain-containing protein, conserved",1.08448963180575,4.45967052520913,"Up in MF",-1.08448963180575,2.12062515708804,3.47e-05
"Tb927.1.180","retrotransposon hot spot protein 1 (RHS1), putative",0.269014718668688,0.769551078621726,"Not Significant",-0.269014718668688,1.20498460843051,0.17
"Tb927.1.1820","hypothetical PIN domain-containing protein",0.855584386984837,2.95078197732982,"Not Significant",-0.855584386984837,1.80949157055072,0.00112
"Tb927.1.1840","conserved protein, unknown function",0.745680650851495,3.10902040301031,"Not Significant",-0.745680650851495,1.67676516583321,0.000778
"Tb927.1.1850","hypothetical protein, conserved",0.595258918924767,2.39361863488939,"Not Significant",-0.595258918924767,1.51074369277745,0.00404
"Tb927.1.1860","Uncharacterized protein",0.480458420436158,1.74957999769111,"Not Significant",-0.480458420436158,1.39518692052037,0.0178
"Tb927.1.1880","WD40 repeat-containing protein",1.19788359374329,4.22694530663574,"Up in MF",-1.19788359374329,2.29402894343148,5.93e-05
"Tb927.1.1890","Replication Factor C Subunit 1-related protein",0.490832907188507,2.5016894462104,"Not Significant",-0.490832907188507,1.40525593416365,0.00315
"Tb927.1.1910","MORN repeat-containing protein",0.65223668032016,3.39361863488939,"Not Significant",-0.65223668032016,1.57160284038594,0.000404
"Tb927.1.1920","conserved protein, unknown function",0.180261035321203,0.576754126063192,"Not Significant",-0.180261035321203,1.13308888320287,0.265
"Tb927.1.1930","phosphatidylinositol 3-kinase, putative",0.690252856967037,3.32057210338788,"Not Significant",-0.690252856967037,1.6135662987383,0.000478
"Tb927.1.1960","chaperone protein DnaJ, putative",-0.341090812183839,1.93554201077308,"Not Significant",0.341090812183839,0.789444192617253,0.0116
"Tb927.1.1980","protein transport protein YIF1, putative",0.469055868242628,2.40782324260413,"Not Significant",-0.469055868242628,1.38420331816925,0.00391
"Tb927.1.1990","Pre-mRNA-splicing factor 38, putative",0.335821111720643,1.59176003468815,"Not Significant",-0.335821111720643,1.26209552773035,0.0256
"Tb927.1.2000","hypothetical protein",0.13660822252425,0.137868620686963,"Not Significant",-0.13660822252425,1.09931757869651,0.728
"Tb927.1.2040","expression site-associated gene 2 (ESAG2) protein, putative",3.69659276130661,4.53461714855158,"Up in MF",-3.69659276130661,12.9653815809592,2.92e-05
"Tb927.1.2100","Calpain-like protein 1.1",0.463730726978445,2.48412615628832,"Not Significant",-0.463730726978445,1.37910349387976,0.00328
"Tb927.1.2110","Calpain-like protein 1.2",-0.165892269654571,0.0814454694497265,"Not Significant",0.165892269654571,0.891377055197495,0.829
"Tb927.1.2120","Calpain-like protein CALP1.3",0.371460143600497,1.75696195131371,"Not Significant",-0.371460143600497,1.29366147585047,0.0175
"Tb927.1.2150","Small kinetoplastid calpain-related protein 1-4",1.70502346596407,2.52870828894106,"Up in MF",-1.70502346596407,3.26034235984372,0.00296
"Tb927.1.2160","Small kinetoplastid calpain-related protein 1-5",0.950971575231952,0.97061622231479,"Not Significant",-0.950971575231952,1.93317410529945,0.107
"Tb927.1.2190","Raptor N-terminal CASPase like domain containing protein, putative",0.971859125565555,3.65560772631489,"Not Significant",-0.971859125565555,1.96136647762863,0.000221
"Tb927.1.220","retrotransposon hot spot protein 1 (RHS1), putative",0.299487195160912,0.97061622231479,"Not Significant",-0.299487195160912,1.23070688177789,0.107
"Tb927.1.2200","zinc finger protein family member, putative",1.08792035984923,2.58502665202918,"Up in MF",-1.08792035984923,2.12567400328652,0.0026
"Tb927.1.2210","nucleosome assembly protein (NAP), putative",-0.752111298343283,2.86646109162978,"Not Significant",0.752111298343283,0.593734026985726,0.00136
"Tb927.1.2220","small myristoylated protein 1-1",-0.7752087869405,1.64975198166584,"Not Significant",0.7752087869405,0.584304057632059,0.0224
"Tb927.1.2260","small myristoylated protein 1-2",-1.24252977246156,2.20760831050175,"Down in MF",1.24252977246156,0.422630920768613,0.0062
"Tb927.1.2310","hypothetical protein",-1.22872323148036,1.93181413825384,"Down in MF",1.22872323148036,0.426694898916933,0.0117
"Tb927.1.2320","hypothetical protein, conserved",0.375765588344413,1.43297363384094,"Not Significant",-0.375765588344413,1.29752792516618,0.0369
"Tb927.1.2330","beta tubulin",-1.6852440319994,3.16941133131486,"Down in MF",1.6852440319994,0.310950311602026,0.000677
"Tb927.1.2340","alpha tubulin",-1.64269106936205,2.98296666070122,"Down in MF",1.64269106936205,0.320258536360221,0.00104
"Tb927.1.2350","beta tubulin",-1.68504761613244,3.1331221856625,"Down in MF",1.68504761613244,0.310992648846601,0.000736
"Tb927.1.2360","alpha tubulin",-1.65099130598939,3.01367622294923,"Down in MF",1.65099130598939,0.318421287705423,0.000969
"Tb927.1.2370","beta tubulin",-1.70680797556943,3.00436480540245,"Down in MF",1.70680797556943,0.306337104096675,0.00099
"Tb927.1.2380","alpha tubulin",-1.64915468353594,2.96257350205938,"Down in MF",1.64915468353594,0.318826911957494,0.00109
"Tb927.1.2390","beta tubulin",-1.68716396059362,3.17198493577602,"Down in MF",1.68716396059362,0.310536776301394,0.000673
"Tb927.1.2400","alpha tubulin",-1.64698620541604,2.96657624451305,"Down in MF",1.64698620541604,0.319306492889794,0.00108
"Tb927.1.2420","hypothetical protein",1.11677977552201,3.9100948885606,"Up in MF",-1.11677977552201,2.16862375639171,0.000123
"Tb927.1.2430","histone H3, putative",-1.32488262841433,3.11182050608168,"Down in MF",1.32488262841433,0.399181667594715,0.000773
"Tb927.1.2450","histone H3, putative",-1.3243492765995,3.16241156176449,"Down in MF",1.3243492765995,0.399329268868791,0.000688
"Tb927.1.2470","histone H3, putative",-1.347764828386,3.31875876262441,"Down in MF",1.347764828386,0.392900299218651,0.00048
"Tb927.1.2490","histone H3, putative",-1.35929650706838,3.62708799702989,"Down in MF",1.35929650706838,0.389772305884546,0.000236
"Tb927.1.2510","histone H3, putative",-1.31413878664319,3.21183162885883,"Down in MF",1.31413878664319,0.402165495462102,0.000614
"Tb927.1.2530","histone H3, putative",-1.38374939334735,3.28903688100472,"Down in MF",1.38374939334735,0.383221552649761,0.000514
"Tb927.1.2550","histone H3, putative",-1.37092732879546,3.21253952548158,"Down in MF",1.37092732879546,0.386642644138762,0.000613
"Tb927.1.2570","coatomer beta subunit",-0.0119297470736548,0,"Not Significant",0.0119297470736548,0.991765024173031,1
"Tb927.1.2580","exosome-associated protein 1",-0.0920191783216825,0.372634143407267,"Not Significant",0.0920191783216825,0.938208724434289,0.424
"Tb927.1.2600","pumilio/PUF RNA binding protein 9",-1.02404772756303,2.69464863055338,"Down in MF",1.02404772756303,0.491734769063395,0.00202
"Tb927.1.2640","hypothetical protein, conserved",0.530223770909291,2.95860731484178,"Not Significant",-0.530223770909291,1.44415317522666,0.0011
"Tb927.1.2670","paralyzed flagella 16",-0.0637220538276542,0.145693958198919,"Not Significant",0.0637220538276542,0.956792473683544,0.715
"Tb927.1.270","hypothetical protein",0.295456151710732,1.00217691925427,"Not Significant",-0.295456151710732,1.22727295541216,0.0995
"Tb927.1.2700","hypothetical protein, conserved",-0.187613461101054,1.47108329972235,"Not Significant",0.187613461101054,0.878057022463871,0.0338
"Tb927.1.2710","hypothetical protein, conserved",0.720725150967669,4.3829996588791,"Not Significant",-0.720725150967669,1.64801017620828,4.14e-05
"Tb927.1.2730","hypothetical protein, conserved",0.429067712957896,2.7281583934635,"Not Significant",-0.429067712957896,1.34636325941517,0.00187
"Tb927.1.2740","lipase-like protein, putative",0.698958887351541,3.20342566678957,"Not Significant",-0.698958887351541,1.62333290098883,0.000626
"Tb927.1.2750","hypothetical protein, conserved",-0.072461132633921,0.137868620686963,"Not Significant",0.072461132633921,0.951014252412245,0.728
"Tb927.1.2760","hypothetical protein",-0.109993252796177,0.229147988357856,"Not Significant",0.109993252796177,0.926592395372469,0.59
"Tb927.1.2770","hypothetical protein, conserved",0.920405630098953,3.70774392864352,"Not Significant",-0.920405630098953,1.8926473579538,0.000196
"Tb927.1.2780","hypothetical protein",1.85513897714208,0.404503778174426,"Not Significant",-1.85513897714208,3.61786600833092,0.394
"Tb927.1.280","Protein of unknown function (DUF1181), putative",0.941220393376211,2.00392634551472,"Not Significant",-0.941220393376211,1.92015183175898,0.00991
"Tb927.1.2820","pteridine transporter, putative",-2.77166648661554,1.85698519974591,"Down in MF",2.77166648661554,0.146435120712212,0.0139
"Tb927.1.2850","pteridine transporter, putative",-2.7059585884447,1.87289520163519,"Down in MF",2.7059585884447,0.153258756629264,0.0134
"Tb927.1.2880","pteridine transporter, putative",-2.68253438932663,1.8153085691824,"Down in MF",2.68253438932663,0.155767440708518,0.0153
"Tb927.1.290","leucine-rich repeat protein (LRRP), putative",0.69418514962148,2.05354773498693,"Not Significant",-0.69418514962148,1.61797032713974,0.00884
"Tb927.1.2970","hypothetical protein, conserved",0.463596261834227,2.71896663275227,"Not Significant",-0.463596261834227,1.37897496172067,0.00191
"Tb927.1.2980","hypothetical protein, conserved",0.656026254871483,2.88605664769316,"Not Significant",-0.656026254871483,1.57573644786198,0.0013
"Tb927.1.2985","ER protein Pkr1, putative",0.293529289460615,1.39147396642281,"Not Significant",-0.293529289460615,1.22563490484624,0.0406
"Tb927.1.2990","PPR repeat family, putative",-0.199439475684998,0.954677021213343,"Not Significant",0.199439475684998,0.87088886040679,0.111
"Tb927.1.30","hypothetical protein",3.17856603245206,1.95860731484178,"Up in MF",-3.17856603245206,9.05406731315473,0.011
"Tb927.1.3000","amidohydrolase, putative",1.03082299631839,3.73518217699046,"Up in MF",-1.03082299631839,2.0431894719453,0.000184
"Tb927.1.3010","mRNA processing protein, putative",0.243371903438713,1.38933983691012,"Not Significant",-0.243371903438713,1.18375613560274,0.0408
"Tb927.1.3030","KREL2",-0.793384462186186,3.73754891026957,"Not Significant",0.793384462186186,0.576988927135595,0.000183
"Tb927.1.3040","hypothetical protein, conserved",-0.408241894981166,3.2020403562628,"Not Significant",0.408241894981166,0.753541098836492,0.000628
"Tb927.1.3050","tRNA (Uracil-5-)-methyltransferase, putative",-0.0119130656708693,0,"Not Significant",0.0119130656708693,0.991776491688351,1
"Tb927.1.3070","hypothetical protein, conserved",-0.212036163831489,0.632644078973981,"Not Significant",0.212036163831489,0.86331791763567,0.233
"Tb927.1.3110","soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative",0.613120827425715,3.61618463401957,"Not Significant",-0.613120827425715,1.52956437535434,0.000242
"Tb927.1.3120","Peptidase C50 separase, putative",0.614992314164375,2.99139982823808,"Not Significant",-0.614992314164375,1.53154983787062,0.00102
"Tb927.1.3130","protein kinase, putative",1.04965367767795,4.29499204066666,"Up in MF",-1.04965367767795,2.07003287179801,5.07e-05
"Tb927.1.3150","hypothetical protein, conserved",-0.06751771511466,0.0979971086492706,"Not Significant",0.06751771511466,0.954278507200984,0.798
"Tb927.1.3170","CHORD, putative",-0.83023192952007,3.10402526764094,"Not Significant",0.83023192952007,0.562438816684765,0.000787
"Tb927.1.3180","40S ribosomal protein S11, putative",-0.720428498625531,1.87289520163519,"Not Significant",0.720428498625531,0.606917153374519,0.0134
"Tb927.1.3200","Suppressor of G2 allele of SKP1, putative",0.686678035968046,1.82973828460504,"Not Significant",-0.686678035968046,1.60957302922176,0.0148
"Tb927.1.3220","TBC1 domain family member 20/GTPase, putative",1.14300438124907,3.80966830182971,"Up in MF",-1.14300438124907,2.20840440090988,0.000155
"Tb927.1.3230","cell division cycle protein, putative",0.0934529029791074,0.488116639021126,"Not Significant",-0.0934529029791074,1.06692066498605,0.325
"Tb927.1.3250","Domain of unknown function (DUF4456), putative",0.347803942923203,2.29670862188134,"Not Significant",-0.347803942923203,1.27262197876591,0.00505
"Tb927.1.3260","hypothetical protein, conserved",0.510428712986624,3.28232949699774,"Not Significant",-0.510428712986624,1.42447343094058,0.000522
"Tb927.1.3270","hypothetical protein, conserved",0.27163402944935,1.6615435063954,"Not Significant",-0.27163402944935,1.20717432697447,0.0218
"Tb927.1.3280","septum formation protein MAF homologue, putative",0.163234878109482,0.962573502059376,"Not Significant",-0.163234878109482,1.11979518218058,0.109
"Tb927.1.3290","hypothetical protein, conserved",0.257288130968586,1.81815641205523,"Not Significant",-0.257288130968586,1.19522988895047,0.0152
"Tb927.1.3300","Myotubularin-related protein, putative",0.52814468172564,3.10679324694015,"Not Significant",-0.52814468172564,1.44207348360115,0.000782
"Tb927.1.3310","hypothetical protein, conserved",-0.864374420759487,2.44490555142168,"Not Significant",0.864374420759487,0.549284535190338,0.00359
"Tb927.1.3320","leucine-rich repeat protein (LRRP), putative",1.65777568407231,4.36051351073141,"Up in MF",-1.65777568407231,3.1552967272603,4.36e-05
"Tb927.1.3350","hypothetical protein",2.03433752848895,1.85698519974591,"Up in MF",-2.03433752848895,4.09634585807619,0.0139
"Tb927.1.3360","hypothetical protein",3.37665424301792,1.08565684288056,"Not Significant",-3.37665424301792,10.3866192613968,0.0821
"Tb927.1.3390","Eukaryotic protein of unknown function (DUF866), putative",-0.332957588570622,0.769551078621726,"Not Significant",0.332957588570622,0.793907269368552,0.17
"Tb927.1.3400","hypothetical protein, conserved",0.419524467857494,1.97469413473523,"Not Significant",-0.419524467857494,1.33748662812077,0.0106
"Tb927.1.3410","hypothetical protein, conserved",0.817851630825023,2.39147396642281,"Not Significant",-0.817851630825023,1.76277901934452,0.00406
"Tb927.1.3450","hypothetical protein, conserved",0.115624462898178,0.355561410532161,"Not Significant",-0.115624462898178,1.0834439069964,0.441
"Tb927.1.3550","hypothetical protein",1.79573574081751,3.44611697335613,"Up in MF",-1.79573574081751,3.47192489791179,0.000358
"Tb927.1.3560","Centrosomal protein of 164 kDa, putative",0.25054050962166,1.20620961530918,"Not Significant",-0.25054050962166,1.18965273815513,0.0622
"Tb927.1.3570","expression site-associated gene 8 (ESAG8) protein, putative",0.846765713918311,2.51712641639125,"Not Significant",-0.846765713918311,1.7984645394038,0.00304
"Tb927.1.370","leucine-rich repeat protein (LRRP), putative",0.53534894020583,1.82973828460504,"Not Significant",-0.53534894020583,1.44929264811554,0.0148
"Tb927.1.3750","hypothetical protein, conserved",-4.29642061410463,1.70333480973847,"Down in MF",4.29642061410463,0.0508918831284592,0.0198
"Tb927.1.3760","hypothetical protein, conserved",0.556810431405171,0.459670525209126,"Not Significant",-0.556810431405171,1.47101344355332,0.347
"Tb927.1.380","Protein of unknown function (DUF1181), putative",1.14145596733616,3.27984069659404,"Up in MF",-1.14145596733616,2.20603543892699,0.000525
"Tb927.1.3800","Present in the outer mitochondrial membrane proteome 18",-0.465175190584556,1.07314329105031,"Not Significant",0.465175190584556,0.72438310802401,0.0845
"Tb927.1.3810","hypothetical protein, conserved",-0.160336621097721,0.43297363384094,"Not Significant",0.160336621097721,0.894816260911281,0.369
"Tb927.1.3820","ATP synthase subunit, putative",0.711725932638461,3.55752023093555,"Not Significant",-0.711725932638461,1.63776224207944,0.000277
"Tb927.1.3830","glucose-6-phosphate isomerase, glycosomal",-0.22387089689361,0.782516055786094,"Not Significant",0.22387089689361,0.856264906084635,0.165
"Tb927.1.3840","hypothetical protein, conserved",0.36076227586799,2.06348625752111,"Not Significant",-0.36076227586799,1.28410419967543,0.00864
"Tb927.1.3850","Sec61beta family, putative",0.619368872444142,2.98296666070122,"Not Significant",-0.619368872444142,1.53620300032259,0.00104
"Tb927.1.3860","hypothetical protein, conserved",0.468220461278577,2.69464863055338,"Not Significant",-0.468220461278577,1.38340201344523,0.00202
"Tb927.1.3880","Fusaric acid resistance protein-like, putative",0.511230428175105,2.86012091359876,"Not Significant",-0.511230428175105,1.4252652402462,0.00138
"Tb927.1.3890","hypothetical protein",0.538161369681876,1.73048705578208,"Not Significant",-0.538161369681876,1.45212069478941,0.0186
"Tb927.1.3910","TPR repeat, putative",0.470637692517625,2.44855000202712,"Not Significant",-0.470637692517625,1.38572184228405,0.00356
"Tb927.1.3940","hypothetical protein, conserved",0.266860172587757,1.51427857351842,"Not Significant",-0.266860172587757,1.20318640634666,0.0306
"Tb927.1.3950","alanine aminotransferase",-1.09388423829345,2.7281583934635,"Down in MF",1.09388423829345,0.468498314186174,0.00187
"Tb927.1.40","hypothetical protein",0.633491387678393,0.0472075569559079,"Not Significant",-0.633491387678393,1.55131470668867,0.897
"Tb927.1.400","hypothetical protein, conserved",0.86812974682983,2.84771165561694,"Not Significant",-0.86812974682983,1.8252951251572,0.00142
